sample_order,universe_record_id,dependency_group,taxon_raw,selection_rule,primary_source_status,double_code_status
1,U1_001,Aechmea_pectinata,Aechmea pectinata,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
2,U1_002,Alstroemeria_aurea,Alstroemeria aurea,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
3,U1_003,Alstroemeria_ligtu_var_Simsii,Alstroemeria ligtu var. Simsii,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
4,U1_004,Alstroemeria_umbellata,Alstroemeria umbellata,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
5,U1_005,Aristotelia_chilensis,Aristotelia chilensis,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
6,U1_006,Berberis_darwinii,Berberis darwinii,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
7,U1_007,Bouvardia_ternifolia,Bouvardia ternifolia,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
8,U1_008,Brassica_napus,Brassica napus,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
9,U1_009,Brassica_nigra,Brassica nigra,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
10,U1_010,Calyptrogyne_ghiesbreghtiana,Calyptrogyne ghiesbreghtiana,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
11,U1_011,Cardus_thoermeri,Cardus thoermeri,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
12,U1_012,Castilleja_indivisa,Castilleja indivisa,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
13,U1_013,Centaurea_solstitialis,Centaurea solstitialis,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
14,U1_014,Centrosema_virginianum,Centrosema virginianum,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
15,U1_015,Clarkia_xantiana_ssp_xantiana,Clarkia xantiana ssp. xantiana,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
16,U1_016,Cnidoscolus_acontifolius,Cnidoscolus acontifolius,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
17,U1_017,Cucumis_melo,Cucumis melo,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
18,U1_018,Cucumis_sativus,Cucumis sativus,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
19,U1_019,Cucurbita_moschata,Cucurbita moschata,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
20,U1_020,Cynanchum_diemii,Cynanchum diemii,FROZEN_FIRST_20_FULL47_TAXON_LABELS_LEXICOGRAPHIC,RESOLVED_PRIMARY,SOURCE_READY_SAMPLE_FROZEN_AWAITING_INDEPENDENT_CODING
