cluster_id,coder_id,conflict_status,architecture_mode,module_substrate,conflict_timing_geometry,conflict_spatial_geometry,notes
Aechmea_pectinata,CODER_A,,,,,,
Aechmea_pectinata,CODER_B,,,,,,
Alstroemeria_aurea,CODER_A,,,,,,
Alstroemeria_aurea,CODER_B,,,,,,
Alstroemeria_ligtu_var_Simsii,CODER_A,,,,,,
Alstroemeria_ligtu_var_Simsii,CODER_B,,,,,,
Alstroemeria_umbellata,CODER_A,,,,,,
Alstroemeria_umbellata,CODER_B,,,,,,
Aristotelia_chilensis,CODER_A,,,,,,
Aristotelia_chilensis,CODER_B,,,,,,
Berberis_darwinii,CODER_A,,,,,,
Berberis_darwinii,CODER_B,,,,,,
Bouvardia_ternifolia,CODER_A,,,,,,
Bouvardia_ternifolia,CODER_B,,,,,,
Brassica_napus,CODER_A,,,,,,
Brassica_napus,CODER_B,,,,,,
Brassica_nigra,CODER_A,,,,,,
Brassica_nigra,CODER_B,,,,,,
Calyptrogyne_ghiesbreghtiana,CODER_A,,,,,,
Calyptrogyne_ghiesbreghtiana,CODER_B,,,,,,
Cardus_thoermeri,CODER_A,,,,,,
Cardus_thoermeri,CODER_B,,,,,,
Castilleja_indivisa,CODER_A,,,,,,
Castilleja_indivisa,CODER_B,,,,,,
Centaurea_solstitialis,CODER_A,,,,,,
Centaurea_solstitialis,CODER_B,,,,,,
Centrosema_virginianum,CODER_A,,,,,,
Centrosema_virginianum,CODER_B,,,,,,
Clarkia_xantiana_ssp_xantiana,CODER_A,,,,,,
Clarkia_xantiana_ssp_xantiana,CODER_B,,,,,,
Cnidoscolus_acontifolius,CODER_A,,,,,,
Cnidoscolus_acontifolius,CODER_B,,,,,,
Cucumis_melo,CODER_A,,,,,,
Cucumis_melo,CODER_B,,,,,,
Cucumis_sativus,CODER_A,,,,,,
Cucumis_sativus,CODER_B,,,,,,
Cucurbita_moschata,CODER_A,,,,,,
Cucurbita_moschata,CODER_B,,,,,,
Cynanchum_diemii,CODER_A,,,,,,
Cynanchum_diemii,CODER_B,,,,,,
