sample_order,universe_record_id,dependency_group,taxon_raw,primary_source_id,primary_source_doi,coder_instruction
1,U1_001,Aechmea_pectinata,Aechmea pectinata,Canela & Sazima 2003 Biotropica 35:289-294,10.1111/j.1744-7429.2003.tb00287.x,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
2,U1_002,Alstroemeria_aurea,Alstroemeria aurea,Aizen & Raffaele 1998 Ecology 79:2133-2142,10.1890/0012-9658(1998)079[2133:FSDAPG]2.0.CO;2,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
3,U1_003,Alstroemeria_ligtu_var_Simsii,Alstroemeria ligtu var. Simsii,Botto-Mahan et al. 2011 International Journal of Plant Sciences 172:1130-1136,10.1086/662029,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
4,U1_004,Alstroemeria_umbellata,Alstroemeria umbellata,Valdivia & Niemeyer 2005 New Zealand Journal of Ecology 29:321-324,,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
5,U1_005,Aristotelia_chilensis,Aristotelia chilensis,Vázquez & Simberloff 2004 Ecological Monographs 74:281-308,10.1890/02-4055,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
6,U1_006,Berberis_darwinii,Berberis darwinii,Vázquez & Simberloff 2004 Ecological Monographs 74:281-308,10.1890/02-4055,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
7,U1_007,Bouvardia_ternifolia,Bouvardia ternifolia,"Salinas-Esquivel, Lara & Arizmendi 2018 Botanical Sciences 96:1-10",10.17129/botsci.1031,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
8,U1_008,Brassica_napus,Brassica napus,"Kirk, Ali & Breadmore 1995 Journal of Apicultural Research 34:15-22",10.1080/00218839.1995.11100881,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
9,U1_009,Brassica_nigra,Brassica nigra,Bruinsma et al. 2014 Journal of Chemical Ecology 40:39-49,10.1007/s10886-013-0369-x,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
10,U1_010,Calyptrogyne_ghiesbreghtiana,Calyptrogyne ghiesbreghtiana,Cunningham 1995 American Journal of Botany 82:1527-1536,10.1002/j.1537-2197.1995.tb13855.x,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
11,U1_011,Cardus_thoermeri,Cardus thoermeri,"Chalcoff, Lescano & Devegili 2019 Plant Ecology 220:125-134",10.1007/s11258-019-00907-2,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
12,U1_012,Castilleja_indivisa,Castilleja indivisa,Adler 2000 The American Naturalist 156:92-99,10.1086/303374,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
13,U1_013,Centaurea_solstitialis,Centaurea solstitialis,Swope 2014 Oecologia 174:205-215,10.1007/s00442-013-2750-4,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
14,U1_014,Centrosema_virginianum,Centrosema virginianum,Cardel & Koptur 2010 International Journal of Plant Sciences 171:283-292,10.1086/650154,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
15,U1_015,Clarkia_xantiana_ssp_xantiana,Clarkia xantiana ssp. xantiana,Benning & Moeller 2019 Evolution 73:2044-2059,10.1111/evo.13836,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
16,U1_016,Cnidoscolus_acontifolius,Cnidoscolus acontifolius,"Arceo-Gómez, Parra-Tabla & Navarro 2009 Biotropica 41:435-441",10.1111/j.1744-7429.2009.00502.x,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
17,U1_017,Cucumis_melo,Cucumis melo,Strauss & Murch 2004 Ecological Entomology 29:234-239,10.1111/j.0307-6946.2004.00587.x,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
18,U1_018,Cucumis_sativus,Cucumis sativus,"Barber, Adler & Bernardo 2011 Oecologia 165:377-386",10.1007/s00442-010-1779-x,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
19,U1_019,Cucurbita_moschata,Cucurbita moschata,Hladun & Adler 2009 Ecological Entomology 34:144-152,10.1111/j.1365-2311.2008.01060.x,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
20,U1_020,Cynanchum_diemii,Cynanchum diemii,Vázquez & Simberloff 2004 Ecological Monographs 74:281-308,10.1890/02-4055,CODE_FROM_PRIMARY_SOURCE_ONLY_DO_NOT_USE_U1_SCREENING_OR_SOURCE_EVIDENCE_NOTES
